CustomerCode,CustomerTitle,DestinationCategoryTitle,DestinationGroupTitle,Email,ContactNumber,MobileNumber,CreditDays,ISRegistered,STRegistrationNo,AccountCode,AccountTitle,NTN,NationalTitle,RegionTitle,TerritoryTitle,TownTitle,ZoneTitle,Active,Address
1,kawish jodia,trader,adil,ali.qamber@atlashonda.com.pk,021-32575561,0332-2483905,30,Yes,0,101002001,Account Receivable,3771196-2,None,None,None,karachi,sindh,Yes,"F-36, ESTATE AVENUE, S.I.T.E. KARACHI"
2,Bashir & Sons,trader,adnan,mwhaque@atlashonda.com.pk,021-32575561,0333-2196823,30,Yes,0,101002001,Account Receivable,0801063-3,None,None,None,lahore,punjab,Yes,"F-36, ESTATE AVENUE, S.I.T.E. KARACHI"
3,Ghulam Abbas jodia,trader,adnan,arslan.amin@atlashitec.com.pk,021-32575561,+92 (333) 3550323,30,Yes,0,101002001,Account Receivable,4040362-9,None,None,None,karachi,sindh,Yes,"F-36, ESTATE AVENUE, S.I.T.E. KARACHI"
4,Prawn ckr Sadrudin impres market,trader,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
5,Umar ckr,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
6,Amanullah Sukhur,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,sukkur,sindh,Yes,None
7,Asim Jodia,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
8,Faisal lahori,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,lahore,punjab,Yes,None
10,Raheem jodia,trader,adnan,None@gmail.com,-,-,30,Yes,0,401002,Sales,-,None,None,None,karachi,sindh,Yes,None
11,Rossatti restaurant,restaurant,sultan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
