TranNo,TranDate,CustomerID,CustomerTitle,Amount,TranType,TranOrder,DestinationRefNo
1819-000135,17/12/2018,1645,kawish jodia,-7370.0,Receipt,1,1
CCN1819-000047,31/12/2018,1645,kawish jodia,-7416.0,CrNote,4,1
CCN1819-000048,06/02/2019,1645,kawish jodia,-24000.0,CrNote,4,1
1819-000826,08/02/2019,1645,kawish jodia,38760.0,Invoice,4,1
CDN1819-000131,12/03/2019,1645,kawish jodia,26.0,DrNote,4,1
1920-000440,31/08/2019,1645,kawish jodia,15500.0,Invoice,4,1
CCN1920-000404,22/01/2020,1645,kawish jodia,-17365.0,CrNote,4,1
CDN2021-000033,29/10/2020,1645,kawish jodia,1865.0,DrNote,4,1
CDN1819-000045,31/12/2018,1651,Asim Jodia,36480.0,DrNote,4,7
1819-000428,21/01/2019,1651,Asim Jodia,-36000.0,Receipt,1,7
1819-000436,22/01/2019,1651,Asim Jodia,-460.0,Receipt,1,7
1819-001306,11/04/2019,1651,Asim Jodia,-60000.0,Receipt,1,7
1819-001307,12/04/2019,1651,Asim Jodia,-28800.0,Receipt,1,7
1819-001407,18/04/2019,1651,Asim Jodia,77400.0,Invoice,4,7
1819-001591,16/05/2019,1651,Asim Jodia,11400.0,Invoice,4,7
CCN1920-000178,19/10/2019,1651,Asim Jodia,-20.0,CrNote,4,7
1819-000060,06/12/2018,1652,Faisal lahori,-99000.0,Receipt,1,8
1819-000512,21/12/2018,1652,Faisal lahori,99000.0,Invoice,4,8
CDN1819-000100,30/11/2018,1654,Raheem jodia,55680.0,DrNote,4,10
1819-000063,13/12/2018,1654,Raheem jodia,-36480.0,Receipt,1,10
1819-000276,09/01/2019,1654,Raheem jodia,30600.0,Invoice,4,10
1819-001020,18/03/2019,1654,Raheem jodia,-28800.0,Receipt,1,10
CCN1920-000188,19/10/2019,1654,Raheem jodia,-21000.0,CrNote,4,10
1819-000526,30/01/2019,1656,Abid Chemical Fsb,-50000.0,Receipt,1,12
1819-000527,31/01/2019,1656,Abid Chemical Fsb,-95000.0,Receipt,1,12
1819-000757,01/02/2019,1656,Abid Chemical Fsb,145000.0,Invoice,4,12
1920-002528,18/03/2020,1656,Abid Chemical Fsb,-150000.0,Receipt,1,12
1920-002397,19/03/2020,1656,Abid Chemical Fsb,150000.0,Invoice,4,12
CCN1819-000004,30/11/2018,1657,Al Habib CHICKEN,-92431.0,CrNote,4,13
CDN1819-000006,30/11/2018,1657,Al Habib CHICKEN,355076.0,DrNote,4,13
1819-000064,29/12/2018,1657,Al Habib CHICKEN,49500.0,Invoice,4,13
CCN1819-000114,30/12/2018,1657,Al Habib CHICKEN,-40963.0,CrNote,4,13
CDN1819-000048,31/12/2018,1657,Al Habib CHICKEN,27950.0,DrNote,4,13
1819-000459,25/01/2019,1657,Al Habib CHICKEN,-200000.0,Receipt,1,13
1819-000686,25/01/2019,1657,Al Habib CHICKEN,214750.0,Invoice,4,13
1819-000716,29/01/2019,1657,Al Habib CHICKEN,145000.0,Invoice,4,13
CCN1819-000079,31/01/2019,1657,Al Habib CHICKEN,-61875.0,CrNote,4,13
1819-000827,08/02/2019,1657,Al Habib CHICKEN,87000.0,Invoice,4,13
CCN1819-000083,08/02/2019,1657,Al Habib CHICKEN,-9750.0,CrNote,4,13
1819-000843,12/02/2019,1657,Al Habib CHICKEN,108103.68,Invoice,4,13
CCN1819-000080,12/02/2019,1657,Al Habib CHICKEN,-137750.0,CrNote,4,13
1819-000925,19/02/2019,1657,Al Habib CHICKEN,14500.0,Invoice,4,13
1819-000985,23/02/2019,1657,Al Habib CHICKEN,145000.0,Invoice,4,13
1819-001026,28/02/2019,1657,Al Habib CHICKEN,9300.0,Invoice,4,13
CCN1819-000081,28/02/2019,1657,Al Habib CHICKEN,-460800.0,CrNote,4,13
1819-001069,07/03/2019,1657,Al Habib CHICKEN,181250.0,Invoice,4,13
CCN1819-000112,07/03/2019,1657,Al Habib CHICKEN,-121180.0,CrNote,4,13
CCN1819-000113,13/03/2019,1657,Al Habib CHICKEN,-112000.0,CrNote,4,13
1819-001418,19/04/2019,1657,Al Habib CHICKEN,145000.0,Invoice,4,13
1819-001466,26/04/2019,1657,Al Habib CHICKEN,7500.0,Invoice,4,13
1819-001553,08/05/2019,1657,Al Habib CHICKEN,181250.0,Invoice,4,13
CCN1819-000251,08/05/2019,1657,Al Habib CHICKEN,-388430.0,CrNote,4,13
1819-001658,25/05/2019,1657,Al Habib CHICKEN,145000.0,Invoice,4,13
CCN1819-000323,30/06/2019,1657,Al Habib CHICKEN,-309350.0,CrNote,4,13
1920-000291,07/08/2019,1657,Al Habib CHICKEN,114375.0,Invoice,4,13
1920-000653,31/08/2019,1657,Al Habib CHICKEN,152500.0,Invoice,4,13
1920-000598,21/09/2019,1657,Al Habib CHICKEN,225000.0,Invoice,4,13
CCN1920-000145,30/09/2019,1657,Al Habib CHICKEN,-147250.0,CrNote,4,13
CCN1920-000219,05/10/2019,1657,Al Habib CHICKEN,-93000.0,CrNote,4,13
1920-000717,07/10/2019,1657,Al Habib CHICKEN,150000.0,Invoice,4,13
CCN1920-000152,09/10/2019,1657,Al Habib CHICKEN,-93000.0,CrNote,4,13
CCN1920-000317,12/12/2019,1657,Al Habib CHICKEN,-8469.0,CrNote,4,13
