Transaction Date,Supplier Title,Supplier Category,Project Title,Currency Title,Type Title,Godown Title,Category Title,Class Title,Brand Title,Item Title,Unit Title,Item Description,Quantity,Rate,Gross Amount,SalesTax Amount,Net Amount
12/1/2018,Sugar Bashir Sugar (SAAD) JODIA,SERVICES,None,PAK Rupee,sugar,Factory Warehouse,glucose & sugar,others,raw material,sugar -moti Ahmed Sb,kg,invert sugar,1250.0,52.0,65000.0,0.0,65000.0
12/4/2018,Speciality Printers,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,filmFlexiblePackaging,soup & ckp,packing material,chicken powder 100gm roll (new),kg,chicken powder 100gm roll  total 78rolls,897.19,445.0,399249.55,67872.42,467121.97
12/4/2018,Atif Riaz (Rafhan Corn Starch),RAW MATERIAL,None,PAK Rupee,starchCorn,Factory Warehouse,flour,cracker,raw material,corn starch rafhan 034010,kg,cracker & chicken powder production,15000.0,69.85,1047735.0,0.0,1047735.0
12/4/2018,Unity Foods Limited,RAW MATERIAL,None,PAK Rupee,HPKO,Factory Warehouse,Fat,whipCream,raw material,Fat Willmar HPKO,kg,cream production,2000.0,199.0,398000.0,0.0,398000.0
12/4/2018,Vendor cash partys,SERVICES,None,PAK Rupee,cornFlour,Factory Warehouse,flour,mingalz,raw material,Corn Flour MMFS2,kg,for funchies production,200.0,39.0,7800.0,0.0,7800.0
12/4/2018,A one Packages Cartons,PACKING MATERIAL,None,PAK Rupee,mingalz,Factory Warehouse,cartons,mingalz,packing material,Funchies MC1 Carton (dimension 540 x 457 x 406mm),pcs,funchies carton,820.0,88.0,72160.0,12267.2,84427.2
12/5/2018,Mirpurkhas Sugar Mills ltd,RAW MATERIAL,None,PAK Rupee,sugar,Factory Warehouse,glucose & sugar,others,raw material,sugar refined pharma grade,kg,cream production,10000.0,59.0,590000.0,0.0,590000.0
12/6/2018,Khamissa International,RAW MATERIAL,None,PAK Rupee,proteinSodiumCaseinate,Factory Warehouse,milkAndProteins,whipCream,raw material,sodium Cassienate,kg,for cream production,20.0,2200.0,44000.0,0.0,44000.0
12/6/2018,Humayun Cargill ( javed sarvana ),RAW MATERIAL,None,PAK Rupee,CocoaPowder,Factory Warehouse,milkAndProteins,chocolate,raw material,Cocoa Powder,kg,for mingalz production,1250.0,408.55,510687.5,86816.88,597504.38
12/8/2018,Al Habib Masala,RAW MATERIAL,None,PAK Rupee,powderGarlic,Factory Warehouse,vegetable powder,seasoning,raw material,Garlic Powder Local,kg,achari production,500.0,200.0,100000.0,0.0,100000.0
12/8/2018,Al Habib Masala,RAW MATERIAL,None,PAK Rupee,powderGinger,Factory Warehouse,vegetable powder,seasoning,raw material,ginger powder (Sounth),kg,achari production,500.0,200.0,100000.0,0.0,100000.0
12/8/2018,Al Habib Masala,RAW MATERIAL,None,PAK Rupee,powderKlonji,Factory Warehouse,vegetable powder,seasoning,raw material,Kalonji,kg,achari production,70.0,290.0,20300.0,0.0,20300.0
12/8/2018,Al Habib Masala,RAW MATERIAL,None,PAK Rupee,powderSaunf,Factory Warehouse,vegetable powder,seasoning,raw material,Saunf Powder,kg,achari production,15.0,200.0,3000.0,0.0,3000.0
12/8/2018,Al Habib Masala,RAW MATERIAL,None,PAK Rupee,powderHaldi,Factory Warehouse,vegetable powder,seasoning,raw material,Turmeric (Haldi),kg,achari production,30.0,200.0,6000.0,0.0,6000.0
12/8/2018,Al Habib Masala,RAW MATERIAL,None,PAK Rupee,powderMustard,Factory Warehouse,vegetable powder,seasoning,raw material,sarson - mustard powder ,kg,achari production,75.0,150.0,11250.0,0.0,11250.0
12/8/2018,Al Habib Masala,RAW MATERIAL,None,PAK Rupee,powderKhatai,Factory Warehouse,vegetable powder,seasoning,raw material,Khatai Powder,kg,achari production,10.0,125.0,1250.0,0.0,1250.0
12/8/2018,Chemicalwala Corp. Jodia,RAW MATERIAL,None,PAK Rupee,acid sodium di acetate,Factory Warehouse,foodChem,seasoning,raw material,Sodium di Acetate,kg,sodium di acetate for seasoning,50.0,255.0,12750.0,0.0,12750.0
12/9/2018,Usman Ice Box Maker,PACKING MATERIAL,None,PAK Rupee,whipcream,Factory Warehouse,cartons,whipCream,packing material,Ice box,pcs,ice box 400pcs,400.0,177.5,71000.0,0.0,71000.0
12/11/2018,Usman Ice Box Maker,PACKING MATERIAL,None,PAK Rupee,whipcream,Factory Warehouse,cartons,whipCream,packing material,Ice box,pcs,ice box 100pcs ,100.0,180.0,18000.0,0.0,18000.0
12/11/2018,A one Packages Cartons,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,cartons,soup & ckp,packing material,Dashi MC1 1kg cracker Carton (dimension 410x325x355 mm),pcs,dashi soup c.p and cracker carton,2640.0,68.0,179520.0,30518.4,210038.4
12/12/2018,Hub Salt Refinery,RAW MATERIAL,None,PAK Rupee,salt,Factory Warehouse,foodChem,seasoning,raw material,salt,kg,chicken powder & cracker,2500.0,7.5,18750.0,3187.5,21937.5
12/12/2018,N.a Enterprises,RAW MATERIAL,None,PAK Rupee,PropyleneGlycolLiquid,Factory Warehouse,glucose & sugar,cakegel,raw material,Propylene glycol PG,kg,pg for cream dept,215.0,275.0,59125.0,10051.25,69176.25
12/13/2018,Foodlink,RAW MATERIAL,None,PAK Rupee,white,Factory Warehouse,food color,cracker,raw material,TITANIUM DIOXIDE,kg,titanium di oxide ,50.0,510.0,25500.0,0.0,25500.0
12/13/2018,Al-Ameen Salt,RAW MATERIAL,None,PAK Rupee,salt,Factory Warehouse,foodChem,seasoning,raw material,salt,kg,salt from amin salt,900.0,7.5,6750.0,0.0,6750.0
12/13/2018,Chemicalwala Corp. Jodia,RAW MATERIAL,None,PAK Rupee,dextroseAnhydrouse,Factory Warehouse,glucose & sugar,seasoning,raw material,dextroseAnhydrouse,kg,dextrose for seasoning preparation,250.0,130.0,32500.0,0.0,32500.0
12/13/2018,Qureshi Flour Mills,RAW MATERIAL,None,PAK Rupee,maidaHard,Factory Warehouse,flour,mingalz,raw material,Hard Maida,kg,maida for cereal and bread crumbs production,1500.0,41.0,61500.0,0.0,61500.0
12/13/2018,Chemicalwala Corp. Jodia,RAW MATERIAL,None,PAK Rupee,maltExtractLiquid,Factory Warehouse,glucose & sugar,mingalz,raw material,Malt Extract,kg,malt extract,10.0,562.0,5620.0,0.0,5620.0
12/13/2018,Flavor M.A.J Flavor,RAW MATERIAL,None,PAK Rupee,lime,Factory Warehouse,Flavors,seasoning,raw material,Lime Flavor k-0308797,kg,flavor lime,10.0,1000.0,10000.0,0.0,10000.0
12/13/2018,Flavor M.A.J Flavor,RAW MATERIAL,None,PAK Rupee,mango,Factory Warehouse,Flavors,seasoning,raw material,Green Mango Flavor D-1510211,kg,flavor achari ,10.0,5300.0,53000.0,0.0,53000.0
12/14/2018,Atif Riaz (Rafhan Corn Starch),RAW MATERIAL,None,PAK Rupee,starchCorn,Factory Warehouse,flour,cracker,raw material,corn starch rafhan 034010,kg,cracker & chicken powder production,2500.0,76.17,190418.0,0.0,190418.0
12/15/2018,Areeba food industries,RAW MATERIAL,None,PAK Rupee,dipChocolate,Factory Warehouse,partiallyFinished,mingalz,raw material,dipChocolate,kg,areeba foods dip chocolate,250.0,235.0,58750.0,0.0,58750.0
12/15/2018,MULTI PACKAGES AAMIR,SERVICES,None,PAK Rupee,soup & ckp,Factory Warehouse,flexible packaging,soup & ckp,packing material,chicken zaiqa powder 25kg non woven bag,pcs,chicken powder 25kg woven bags,1100.0,73.0,80300.0,0.0,80300.0
12/15/2018,Atif Riaz (Rafhan Corn Starch),RAW MATERIAL,None,PAK Rupee,starchCorn,Factory Warehouse,flour,cracker,raw material,corn starch rafhan 034010,kg,Rafhan starch ind. grade 34101,15000.0,69.85,1047735.0,0.0,1047735.0
12/15/2018,Khizer Printers,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,displayBox,soup & ckp,packing material,Display Box Chicken powder 100gm (150x165x130mm),pcs,display box chicken powder 100gm,2200.0,15.35,33770.0,0.0,33770.0
12/15/2018,Silat Impex Abdul Qadir starch,RAW MATERIAL,None,PAK Rupee,starchCorn,Factory Warehouse,flour,cracker,raw material,corn starch rafhan 034010F,kg,rafhan F grade ,500.0,85.0,42500.0,0.0,42500.0
12/17/2018,Vendor cash partys,SERVICES,None,PAK Rupee,ricewhole,Factory Warehouse,dehydratedVegetables,kheer,raw material,rice whole,kg,rice 1bag from karimabad contact 0332-3179387,50.0,41.0,2050.0,0.0,2050.0
12/19/2018,Chemicalwala Corp. Jodia,RAW MATERIAL,None,PAK Rupee,acid citric,Factory Warehouse,foodChem,seasoning,raw material,CITRIC ACID,kg,citric acid,125.0,140.0,17500.0,0.0,17500.0
12/19/2018,Hussain Can,PACKING MATERIAL,None,PAK Rupee,cakegel,Factory Warehouse,bucket,cakegel,packing material,Plastic 1kg bucket,pcs,c.p buckets 1ltr 2000pcs,2000.0,32.0,64000.0,0.0,64000.0
12/19/2018,Speciality Printers,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,filmFlexiblePackaging,soup & ckp,packing material,chicken powder 18gm roll (new),kg,8 kg par roll,771.34,465.0,358673.1,60974.43,419647.53
12/19/2018,HANGZHOU ZHONGBAO IMP AND EXP CORP.LTD.,International Supplier,None,US Dollar,hpmc,Factory Warehouse,foodChem,whipCream,raw material,HPMC methyl cellulose A15 ,kg,methyl cellulose A15 1000kgs imported from china FOB shipment,1000.0,9.2,9200.0,0.0,9200.0
12/19/2018,Marjan food,RAW MATERIAL,None,PAK Rupee,starchCorn,Factory Warehouse,flour,cracker,raw material,corn starch marjan foods,kg,corn starch for testing yellow ish in color ,100.0,55.0,5500.0,0.0,5500.0
12/21/2018,Hussain Can,PACKING MATERIAL,None,PAK Rupee,cakegel,Factory Warehouse,bucket,cakegel,packing material,Plastic 1kg bucket,pcs,c.p buckets 1ltr 2719pcs,2719.0,32.0,87008.0,0.0,87008.0
12/21/2018,Khizer Printers,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,displayBox,soup & ckp,packing material,Display Box Chicken powder 100gm (150x165x130mm),pcs,c.p 100gm display box,4300.0,15.35,66005.0,0.0,66005.0
12/22/2018,A one Packages Cartons,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,cartons,soup & ckp,packing material,Dashi MC1 1kg cracker Carton (dimension 410x325x355 mm),pcs,c.p 100gm soup carton ,2610.0,68.0,177480.0,30171.6,207651.6
12/26/2018,F&A International,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,cartons,soup & ckp,packing material,Dashi MC2 1kg pouch Carton (dimension 415 x 340 x 176 mm),pcs,1kg pouch cartons,491.0,80.0,39280.0,0.0,39280.0
12/26/2018,A one Packages Cartons,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,cartons,soup & ckp,packing material,Dashi MC3 bucket Carton (dimension 400 x 266 x 273.75 mm),pcs,dashi mc3 bucket carton ,1585.0,58.0,91930.0,15628.1,107558.1
12/27/2018,Atif Riaz (Rafhan Corn Starch),RAW MATERIAL,None,PAK Rupee,starchCorn,Factory Warehouse,flour,cracker,raw material,corn starch rafhan 034010,kg,50bags starch,2500.0,69.85,174623.0,0.0,174623.0
